htid,title,author,year,source
mdp.39015016437975,The Green Kingdom,Rachel Maddux,1957,laure
uc1.$b242869,Strange Evil,Jane Gaskell,1957,laure
mdp.39015004856194,The Short Reign of Pippin IV: A Fabrication,John Steinbeck,1957,laure
mdp.39015040109038,The Baron in the Trees,Italo Calvino,1957,laure
cub.p107272609011,The Sea People,Julius C. Sizemore & Wilkie G. Sizemore,1957,laure
nyp.33433043901259,Atomic Submarine: A Story of Tomorrow,Alastair Mars,1957,laure
ucbk.ark:/28722/h29883b5v,Sphereland: A Fantasy About Curved Spaces and an Expanding Universe,Dionys Burger,1957,laure
uc1.$b244860,The Fur Person,May Sarton,1957,laure
mdp.39015013095297,Below the Salt,Thomas B. Costain,1957,laure
mdp.39015014316601,The Egghead Republic: A Short Novel from the Horse Latitudes,Arno Schmidt,1957,laure
mdp.39015027551848,A Grass Rope,William Mayne,1957,laure
osu.32435066351198,Cynthia,Rosalind Sibold,1957,laure
uva.x000318549,You'll See: Report from the Future,Egon Larsen,1957,laure
uva.x004762331,Tistou of the Green Thumbs,Maurice Druon,1957,laure
uc1.$b245287,St. Dingan's Bones,Julian Callender,1957,laure
osu.32435008897720,The Bridge,Pamela Frankau,1957,laure
inu.30000107396693,Arctic Submarine,Alastair Mars,1957,laure
uc1.b4098767,The Garden Under the Sea,George Selden,1957,laure
mdp.49015001112011,The Wonderful O,James Thurber,1957,laure
mdp.39015058013502,Don Camillo Takes the Devil by the Tail,Giovanni Guareschi,1957,laure
ppt.ssfcbz202002001049,"Sometime, never : three tales of imagination / by William Golding, John Wyndham [and] Mervyn Peake.",,1957,temple
ppt.ssfcbz202002001064,Escape to earth / edited by Ivan Howard.,"Howard, Ivan.",1957,temple
ppt.ssfcbz202002001104,Pilgrimage to Earth / by Robert Sheckley.,"Sheckley, Robert, 1928-2005",1957,temple
inu.30000102131947,Non-Stop,Brian Aldiss,1958,laure
uiug.30112037327837,Non-Stop,Brian W. Aldiss,1958,laure
ppt.ssfcbz202002001000,Starship,Brian W. Aldiss,1958,laure
uc1.$b287676,I Hear Voices,Paul Ableman,1958,laure
uva.x000131002,Man of Earth,A. J. Budrys,1958,laure
mdp.39015005458644,The Mezentian Gate,E. R. Eddison,1958,laure
mdp.39015016450150,Who?,Algis Budrys,1958,laure
uva.x000095247,Immortality Delivered,Robert Sheckley,1958,laure
osu.32435053310876,Space Prison,Tom Godwin,1958,laure
uc1.32106006207630,Methuselah's Children,Robert A. Heinlein,1958,laure
mdp.39015035342586,Have Space Suit - Will Travel,Robert A. Heinlein,1958,laure
mdp.39015013534014,A Case of Conscience,James Blish,1958,laure
mdp.39015011695874,The Time Traders,Andre Norton,1958,laure
mdp.39015038075829,Invaders from Earth,Robert Silverberg,1958,laure
uva.x000310169,Undersea City,Jack Williamson & Frederik Pohl,1958,laure
osu.32435053364436,War with the Gizmos,Murray Leinster,1958,laure
uva.x000312996,VOR,James Blish,1958,laure
mdp.39015008161781,War of the Wing-Men,Poul Anderson,1958,laure
mdp.39015005165702,The Planet Savers,Marion Zimmer Bradley,1958,laure
mdp.39015008856042,The Sherwood Ring,Elizabeth Marie Pope,1958,laure
uc1.32106014483108,The Big Time,Fritz Leiber,1958,laure
uc1.b3862851,The Sundial,Shirley Jackson,1958,laure
ppt.ssfcbz202002001086,The Tide Went Out,Charles Eric Maine,1958,laure
osu.32435053364535,World Without Men,Charles Eric Maine,1958,laure
uc1.b3406850,Danny Dunn and the Homework Machine,Jay Williams & Raymond Abrashkin,1958,laure
uc1.$b245240,The Lincoln Hunters,Wilson Tucker,1958,laure
ppt.ssfcbz201710000424,The Cosmic Rape,Theodore Sturgeon,1958,laure
pst.000013229719,The Languages of Pao,Jack Vance,1958,laure
mdp.49015002971167,No Place on Earth,Louis Charbonneau,1958,laure
mdp.49015001400143,Tom's Midnight Garden,A. Philippa Pearce,1958,laure
uva.x000213542,Tom's Midnight Garden,Philippa Pearce,1958,laure
nyp.33433044666513,Operation Springboard,"John Ball, Jr.",1958,laure
uc1.$b86295,Swear by Apollo,Shirley Barker,1958,laure
pur1.32754062914530,A Scent of New-Mown Hay,John Blackburn,1958,laure
uc1.b4101896,Treasure of Green Knowe,L. M. Boston,1958,laure
osu.32435053305025,After the Rain,John Bowen,1958,laure
osu.32435054317482,The Barford Cat Affair,P. H. H. Bryan,1958,laure
osu.32435068166552,Shara-Li,Clyde Andre Castilla,1958,laure
uiug.30112041679215,Slow Burner,William Haggard,1958,laure
uva.x000883777,Starman's Quest,Robert Silverberg,1958,laure
cub.p101161916010,The Path of Unreason,George O. Smith,1958,laure
osu.32435057544645,First on the Moon,Jeff Sutton,1958,laure
uga1.32108057284856,Out of This World,Murray Leinster,1958,laure
uva.x000179221,The Year When Stardust Fell,Raymond F. Jones,1958,laure
uiug.30112038192537,Come and Go,Manning Coles,1958,laure
uc1.$b101903,The Joy Wagon,Arthur T. Hadley,1958,laure
mdp.39015048712288,An Elephant for Aristotle,L. Sprague de Camp,1958,laure
pst.000029942930,Summons from Baghdad,Allan MacKinnon,1958,laure
uva.x030743327,Space Cat and the Kittens,Ruthven Todd,1958,laure
nyp.33433044672883,The Sparrows of Paris,Mario Pei,1958,laure
mdp.39076006985415,Zip-Zip Goes to Venus,John M. Schealer,1958,laure
mdp.49015000959396,The Black Spider,Jeremias Gotthelf,1958,laure
uc1.$b105807,Mind Out of Time,Angela Tonks,1958,laure
mdp.39015024087432,The Moonball,Ursula Moray Williams,1958,laure
uiug.30112001310710,Beware of the Mouse,Leonard Wibberley,1958,laure
uva.x001475235,So Love Returns,Robert Nathan,1958,laure
uc1.b3482880,The Plague of Silence,John Creasey,1958,laure
mdp.39015016897640,Castaways in Lilliput,Henry Winterfeld,1958,laure
osu.32435060537743,The Haunted Strangler,John C. Cooper,1958,laure
uva.x001476626,Giddy Moment,Ernestine Gilbreth Carey,1958,laure
pst.000005733545,The Mysterious Stranger,Olive Gundran,1958,laure
umn.319510008919737,And to Think That I Saw It on Mulberry Street,Dr. Seuss,1958,laure
uc1.b2801056,Dance with the Devil: A Dramatic Encounter,Günther Schwab,1958,laure
ppt.ssfcbz201710000335,Starburst / Alfred Bester.,"Bester, Alfred.",1958,temple
ppt.ssfcbz202002001021,The other side of the sky / by Arthur C. Clarke.,"Clarke, Arthur C. 1917-2008.",1958,temple
ppt.ssfcbz202002001132,Men on the moon / edited by Donald A. Wollheim.,,1958,temple
mdp.39015014434172,The Falling Torch,Algis Budrys,1959,laure
ppt.ssfcbz201808000105,Scavengers in Space,Alan E. Nourse,1959,laure
mdp.39015008864665,The War Against the Rull,A. E. van Vogt,1959,laure
mdp.39015000529969,Titus Alone,Mervyn Peake,1959,laure
mdp.39015038922574,Starship Troopers,Robert A. Heinlein,1959,laure
mdp.39015002582594,The Sirens of Titan,"Kurt Vonnegut, Jr.",1959,laure
mdp.39076001543219,The Sirens of Titan,Kurt Vonnegut,1959,laure
mdp.39015000611528,A Canticle for Leibowitz,"Walter M. Miller, Jr.",1959,laure
mdp.39015005749158,Galactic Derelict,Andre Norton,1959,laure
mdp.39015038075811,The Dawning Light,Robert Randall,1959,laure
ppt.ssfcbz202002001081,Four from Planet 5,Murray Leinster,1959,laure
osu.32435053363693,The Monster from Earth's End,Murray Leinster,1959,laure
mdp.39015003897603,Inter Ice Age 4,Kobo Abe,1959,laure
uc1.32106007696336,Wolfbane,C. M. Kornbluth & Frederik Pohl,1959,laure
mdp.39015033871727,We Claim These Stars!,Poul Anderson,1959,laure
mdp.39015019446023,Eden,Stanislaw Lem,1959,laure
mdp.39015013265361,The Haunting of Hill House,Shirley Jackson,1959,laure
mdp.39015005728657,Secret of the Lost Race,Andre Norton,1959,laure
osu.32435053364634,Fire Past the Future,Charles Eric Maine,1959,laure
mdp.39015008313002,"Alas, Babylon",Pat Frank,1959,laure
mdp.39015002609272,Time Out of Joint,Philip K. Dick,1959,laure
inu.39000001030548,The Investigation,Stanislaw Lem,1959,laure
mdp.39015020633858,Naked Lunch,William S. Burroughs,1959,laure
mdp.49015000586389,Level 7,Mordecai Roshwald,1959,laure
uga1.32108007208161,Emperor Fu Manchu,Sax Rohmer,1959,laure
mdp.39076001004006,The Borrowers Afloat,Mary Norton,1959,laure
uva.x000442542,The Gammage Cup,Carol Kendall,1959,laure
uc1.$b100738,Too Many Ghosts,Paul Gallico,1959,laure
mdp.49015000897539,Magic or Not?,Edward Eager,1959,laure
nyp.33433044803496,Son of the Sun,Orfeo Angelucci,1959,laure
mdp.39015008969936,The Vet's Daughter,Barbara Comyns,1959,laure
nyp.33433044721151,Anno Domini 2000,Phil Coury,1959,laure
uc1.31210016884114,The Rest Must Die,Richard Foster,1959,laure
uc1.$b808957,The Bird of Time,Wallace West,1959,laure
osu.32435053310660,First to the Stars,Rex Gordon,1959,laure
osu.32435057544694,Bombs in Orbit,Jeff Sutton,1959,laure
mdp.39015056891271,Time Echo,Robert Lionel,1959,laure
ppt.ssfcbz202002001093,The Frozen Planet,A. J. Merak,1959,laure
mdp.39015011820779,Dorsai!,Gordon R. Dickson,1959,laure
ppt.ssfcbz201808000127,The Genetic General,Gordon R. Dickson,1959,laure
mdp.39015000611825,The Cool World,Warren Miller,1959,laure
mdp.39015062064459,Ossian's Ride,Fred Hoyle,1959,laure
osu.32435005497300,Not in Solitude,Kenneth F. Gantz,1959,laure
uc1.b4101939,The Terrible Churnadryne,Eleanor Cameron,1959,laure
uc1.b4089198,The Fig Tree,Aubrey Menen,1959,laure
mdp.39076000810981,The Two Deaths of Quincas Wateryell,Jorge Amado,1959,laure
mdp.39015030151552,The Lunatic Republic,Compton MacKenzie,1959,laure
mdp.39015030851748,Krishna Fluting,John Berry,1959,laure
uc1.$b104181,Five Miles from Candia,Althea Urn,1959,laure
mdp.39015046344084,The Manchurian Candidate,Richard Condon,1959,laure
uva.x000985933,The Badger of Ghissi,Wolf von Niebelschütz,1959,laure
uc1.31822035665744,Providence Island,Jacquetta Hawkes,1959,laure
pst.000005446827,Broken Boy,John Blackburn,1959,laure
mdp.39015013121127,Advise and Consent,Allen Drury,1959,laure
mdp.39015009192421,The Ugglians at Large; Second Book of Ugg,L. M. Fallaw,1959,laure
osu.32435054204078,The Dark Fantastic,Whit Masterson,1959,laure
mdp.39015014138187,Cadwallader: A Diversion,Russell Lynes,1959,laure
pur1.32754064558004,Jonathan,Russell O'Neil,1959,laure
mdp.39015002201724,An Edge of the Forest,Agnes Smith,1959,laure
uiug.30112115710557,The John Franklin Letters,uncredited,1959,laure
ppt.ssfcbz201710000417,Aliens 4 / Theodore Sturgeon.,"Sturgeon, Theodore",1959,temple
ppt.ssfcbz201710000432,The sirens of titan : an original novel / by Kurt Vonnegut.,"Vonnegut, Kurt",1959,temple
ppt.ssfcbz201808000136,Galactic cluster / by James Blish.,"Blish, James.",1959,temple
ppt.ssfcbz202002001010,The seedling stars / James Blish.,"Blish, James",1959,temple
ppt.ssfcbz202002001078,The monster from earth's end : an original gold medal novel / by Murray Leinster.,"Leinster, Murray, 1896-1975.",1959,temple
ppt.ssfcbz202002001130,The Hidden planet : science fiction adventures on Venus / edited by Donald A. Wollheim.,,1959,temple
osu.32435055414825,Star Surgeon,Alan E. Nourse,1960,laure
mdp.39015014854346,Venus Plus X,Theodore Sturgeon,1960,laure
mdp.39015013002517,Trouble with Lichen,John Wyndham,1960,laure
mdp.39015007036448,Rogue Moon,Algis Budrys,1960,laure
mdp.39015013291961,The High Crusade,Poul Anderson,1960,laure
mdp.39015008513858,Flesh,Philip José Farmer,1960,laure
mdp.49015000617523,Deathworld,Harry Harrison,1960,laure
mdp.39015008196746,The Sioux Spaceman,Andre Norton,1960,laure
mdp.39015016450218,The Atlantic Abomination,John Brunner,1960,laure
mdp.39015031213526,Into the Slave Nebula,John Brunner,1960,laure
osu.32435075038034,Men Into Space,Murray Leinster,1960,laure
ppt.ssfcbz201808000157,The Wailing Asteroid,Murray Leinster,1960,laure
osu.32435057545725,First on the Moon,Hugh Walters,1960,laure
uc1.b3872936,Facial Justice,L. P. Hartley,1960,laure
mdp.39015016453519,A Fine and Private Place,Peter S. Beagle,1960,laure
uc1.b4447027,Unearthly Neighbors,Chad Oliver,1960,laure
osu.32435074833567,Starfire,Robert Buckner,1960,laure
mdp.39015012292382,Danny Dunn on the Ocean Floor,Jay Williams & Raymond Abrashkin,1960,laure
uva.x001479078,Quatermass II,Nigel Kneale,1960,laure
mdp.39015022202744,Timestop!,Philip José Farmer,1960,laure
mdp.39015062547180,Dr. Futurity,Philip K. Dick,1960,laure
mdp.39015059159205,Vulcan's Hammer,Philip K. Dick,1960,laure
mdp.39015014136595,Drunkard's Walk,Frederik Pohl,1960,laure
uc1.b3463236,Eight Keys to Eden,Mark Clifton,1960,laure
osu.32435053364972,Woman from Another Planet,Frank Belknap Long,1960,laure
osu.32435074833633,Corpus Earthling,Louis Charbonneau,1960,laure
osu.32435056692312,The Status Civilization,Robert Sheckley,1960,laure
mdp.39015010234410,The Child Buyer,John Hersey,1960,laure
mdp.49015002399666,The Kingdom and the Cave,Joan Aiken,1960,laure
uc1.b4098566,Flight of Time,Paul Capon,1960,laure
nyp.33433044089385,The Deep Blue Ice,Langston Day,1960,laure
osu.32435057544496,Spacehive,Jeff Sutton,1960,laure
mdp.39015014863545,The Trouble with Tycho,Clifford D. Simak,1960,laure
mdp.39015014859337,30-Day Wonder,Richard Wilson,1960,laure
ppt.ssfcbz201808000129,The Climacticon,Harold Livingston,1960,laure
mdp.39015003942334,The Dean's Watch,Elizabeth Goudge,1960,laure
mdp.39015028871914,The Evolution Man or How I Ate My Father,Roy Lewis,1960,laure
hvd.hn5urn,The Doll Maker,Sarban,1960,laure
osu.32435061288825,Captives in Space,Joseph Greene,1960,laure
uc1.31158001932036,A Stranger Passed,Catherine Christian,1960,laure
mdp.39015002293424,When the Kissing Had to Stop,Constantine Fitz Gibbon,1960,laure
mdp.39015014320355,The Weans,Robert Nathan,1960,laure
uva.x001428818,Is There Intelligent Life on Earth?,Alan Dunn,1960,laure
osu.32435057545980,Lords of Atlantis,Wallace West,1960,laure
mdp.39015001525941,The Project,Andrew Sinclair,1960,laure
uiug.30112074731685,The Tomorrow People,Judith Merril,1960,laure
mdp.39015008466727,A New Year's Tale,Vladimir Dudintsev,1960,laure
cub.p101151707012,The Children of Light,H. L. Lawrence,1960,laure
mdp.39015002709890,All or Nothing,John Cowper Powys,1960,laure
uc1.32106002161351,The Descent,Gina Berriault,1960,laure
inu.30000052114562,The Saga of King Heidrek the Wise,Christopher Tolkien,1960,laure
mdp.39015008275110,Larger Than Life,Dino Buzzati,1960,laure
mdp.39015026938624,The Trouble with Jenny's Ear,Oliver Butterworth,1960,laure
mdp.39015073444443,Alpaca,H. L. Hunt,1960,laure
mdp.39015014890944,Natural History,Joan Perucho,1960,laure
uc1.$b102383,"Men of Destiny, or, The Moment of No Return",Stephen King-Hall,1960,laure
osu.32435060586716,The Man Who Captivated New York: The Further Adventures of Brother Angelo,Rosalie Lieberman,1960,laure
mdp.39015002712795,The Waters of Kronos,Conrad Richter,1960,laure
mdp.39015048898194,The General,Alan Sillitoe,1960,laure
mdp.39015011559575,The Real Münchhausen: Authentic Tales of the Fabulous Baron of Bodenwerder,Angelita von Münchhausen,1960,laure
uc1.$b251003,Wish Me Dead,David West,1960,laure
ppt.ssfcbz201710000420,Beyond / Theodore Sturgeon.,"Sturgeon, Theodore",1960,temple
ppt.ssfcbz201808000032,13 great stories of science fiction : a Gold Medal collection / edited by Groff Conklin.,,1960,temple
ppt.ssfcbz202002001087,Get out of my sky : three short novels of science fiction / selected by Leo Margulies.,,1960,temple
mdp.39015003972109,Orbit Unlimited,Poul Anderson,1961,laure
uiug.30112001823159,Three Hearts and Three Lions,Poul Anderson,1961,laure
uc1.b3751296,Sylva,Vercors,1961,laure
mdp.39015003922005,Stranger in a Strange Land,Robert A. Heinlein,1961,laure
osu.32435053311890,The Stainless Steel Rat,Harry Harrison,1961,laure
uc1.31158003216016,Invaders from the Infinite,"John W. Campbell, Jr.",1961,laure
mdp.39015020680461,A Fall of Moondust,Arthur C. Clarke,1961,laure
mdp.39015019145898,Catseye,Andre Norton,1961,laure
osu.32435053572517,Naked to the Stars,Gordon R. Dickson,1961,laure
osu.32435057920613,The Star Dwellers,James Blish,1961,laure
mdp.39015004811058,James and the Giant Peach,Roald Dahl,1961,laure
uva.x000285724,The Runaway World,Stanton A. Coblentz,1961,laure
uc1.31158008706672,Verwoerd - the End: A Lookback from the Future,Garry Allighan,1961,laure
mdp.39015010524562,Return from the Stars,Stanislaw Lem,1961,laure
osu.32435053307195,Some Will Not Die,Algis Budrys,1961,laure
mdp.39015016451745,Titan's Daughter,James Blish,1961,laure
inu.39000001037436,Memoirs Found in a Bathtub,Stanislaw Lem,1961,laure
mdp.39015008506662,The Lovers,Philip José Farmer,1961,laure
mdp.39015013972214,The Soft Machine,William S. Burroughs,1961,laure
mdp.39015029483347,The Borrowers Aloft,Mary Norton,1961,laure
mdp.39015029838383,The Phantom Tollbooth,Norton Juster,1961,laure
mdp.49015000720988,Pilgrimage,Zenna Henderson,1961,laure
uva.x006172519,Pilgrimage: The Book of the People,Zenna Henderson,1961,laure
pst.000045197642,A Stranger at Green Knowe,L. M. Boston,1961,laure
uc1.$b87058,The Scarlet Boy,Arthur Calder-Marshall,1961,laure
ppt.ssfcbz201710000435,The Day They H-Bombed Los Angeles,Robert Moore Williams,1961,laure
mdp.39015002174384,Time Is the Simplest Thing,Clifford D. Simak,1961,laure
ppt.ssfcbz201808000158,This World Is Taboo,Murray Leinster,1961,laure
osu.32435053309084,The Planet Strappers,Raymond Z. Gallun,1961,laure
mdp.39015002711961,The Thirty-First of June,J. B. Priestley,1961,laure
cub.p101151701011,Believers' World,Robert W. Lowndes,1961,laure
mdp.39015015061172,Epidemic!,Frank G. Slaughter,1961,laure
uc1.$b102382,Old House of Fear,Russell Kirk,1961,laure
osu.32435057546038,The Memory Bank,Wallace West,1961,laure
uiug.30112002014162,The Ikon,Clayton C. Barbeau,1961,laure
mdp.39015019789026,The Joy Makers,James Gunn,1961,laure
nyp.33433044785255,Soaring Sunward: Woman's Initiation,Jeanne Adriel,1961,laure
osu.32435053364345,The Mating Center,Frank Belknap Long,1961,laure
osu.32435064769243,Thief of Baghdad,Richard Wormser,1961,laure
mdp.39015016453592,The Secret Speech: The Failure of Comrade Krushchev's Leadership,John Robinson Beal,1961,laure
mdp.39015002969064,Solaris,Stanislaw Lem,1961,laure
nyp.33433044797441,I Am Lucifer: Confessions of the Devil,Clyde B. Clason,1961,laure
mdp.39015050980450,Jason,Henry Treece,1961,laure
mdp.39015046412071,The Old Men at the Zoo,Angus Wilson,1961,laure
nyp.33433044882565,Redcap,Philip McCutchan,1961,laure
uiug.30112049776161,Seance,Mark McShane,1961,laure
uc1.$b103961,The Day Khrushchev Panicked,George B. Mair,1961,laure
mdp.39015078571372,Venus: One World Nearer Paradise?,Arthur Elliott Paterson,1961,laure
uc1.$b322785,Long Night Among the Stars,Pat Booth (1929-2018),1961,laure
cub.p101162304010,The Visitors from Planet Veta,Reinhold W. Goll,1961,laure
cub.p102031611016,The Exorcism,Charity Blackstock,1961,laure
uc1.$b684795,The Day They Burned Miss Termag,Dacre Balsdon,1961,laure
nyp.33433044156333,More Than Moon,Laurence Clark,1961,laure
mdp.39015016449921,Good Friday – 1963: A Journey into the Heart of One Man – and Into the Soul of America,Otis Carney,1961,laure
uc1.b4451897,Minor Miracle,Al Morgan,1961,laure
mdp.39015014436946,The Wilderness-Stone,Robert Nathan,1961,laure
uc1.$b104475,Stranger at Killknock,Leonard Wibberley,1961,laure
uc1.b3346120,The Owl Hoots Twice at Catfish Bend,Ben Lucien Burman,1961,laure
uc1.$b157073,The Burial of the Sardine,Fernando Arrabal,1961,laure
mdp.39015009937908,The Snouters: Form and Life of the Rhinogrades,Harald Stümpke,1961,laure
uc1.b3810612,Come Out to Play,Alex Comfort,1961,laure
mdp.39015030727146,"A Talent for Loving; or, The Great Cowboy Race",Richard Condon,1961,laure
mdp.39015014276664,The Talent Scout,Romain Gary,1961,laure
uc1.$b115730,Miss Happiness and Miss Flower,Rumer Godden,1961,laure
ppt.ssfcbz201710000421,Some of your blood / Theodore Sturgeon.,"Sturgeon, Theodore",1961,temple
ppt.ssfcbz202002001002,Orbit unlimited : a science fiction adventure / Poul Anderson.,"Anderson, Poul, 1926-2001",1961,temple
mdp.39015012850064,A for Andromeda,Fred Hoyle & John Elliot,1962,laure
osu.32435053363701,Worlds of the Imperium,Keith Laumer,1962,laure
uva.x000372455,The Wizard of Linn,A. E. van Vogt,1962,laure
osu.32435055415434,Brain Twister,Mark Phillips,1962,laure
mdp.39015002691262,The Sword of Aldones,Marion Zimmer Bradley,1962,laure
osu.32435003596806,The Silver Eggheads,Fritz Leiber,1962,laure
mdp.39015020677434,The Man in the High Castle,Philip K. Dick,1962,laure
mdp.39015016451737,A Life for the Stars,James Blish,1962,laure
uiug.30112014159732,The Great Explosion,Eric Frank Russell,1962,laure
mdp.39015005751584,The Defiant Agents,Andre Norton,1962,laure
uva.x000195190,Lord of Thunder,Andre Norton,1962,laure
osu.32435055416200,Little Fuzzy,H. Beam Piper,1962,laure
uiug.30112002684048,Unwise Child,Randall Garrett,1962,laure
osu.32435053364469,"Talents, Incorporated",Murray Leinster,1962,laure
ppt.ssfcbz201710000333,The Wind from Nowhere,J. G. Ballard,1962,laure
ppt.ssfcbz201710000327,The Drowned World,J. G. Ballard,1962,laure
mdp.39015005009603,Triumph,Philip Wylie,1962,laure
mdp.39015004821420,The Woman in the Dunes,Kobo Abe,1962,laure
mdp.39015012198563,Necromancer,Gordon R. Dickson,1962,laure
ppt.ssfcbz202002001035,No Room for Man,Gordon R. Dickson,1962,laure
mdp.39015031231338,The Jewels of Aptor,Samuel R. Delany,1962,laure
uc1.31210016870733,D-99,H. B. Fyfe,1962,laure
pst.000027212882,A Wrinkle in Time,Madeleine L'Engle,1962,laure
mdp.39015024078886,Fail-Safe,Harvey Wheeler & Eugene Burdick,1962,laure
mdp.39015005906592,Something Wicked This Way Comes,Ray Bradbury,1962,laure
uc1.32106008566652,Memoirs of a Spacewoman,Naomi Mitchison,1962,laure
ppt.ssfcbz202002001091,Dome World,Dean McLaughlin,1962,laure
ppt.ssfcbz202002001129,The Red Planet,Russ Winterbotham,1962,laure
uva.x000057461,The Cybernetic Brains,Raymond F. Jones,1962,laure
mdp.39015008864640,The Dragon Masters,Jack Vance,1962,laure
mdp.39015004857200,A Clockwork Orange,Anthony Burgess,1962,laure
ppt.ssfcbz201710000337,The Wanting Seed,Anthony Burgess,1962,laure
mdp.49015000892951,The Wolves of Willoughby Chase,Joan Aiken,1962,laure
mdp.39076001544761,Mother Night,Kurt Vonnegut,1962,laure
uc1.32106006036237,Mother Night,"Kurt Vonnegut, Jr.",1962,laure
mdp.39015066055545,They Walked Like Men,Clifford D. Simak,1962,laure
osu.32435055419790,Journey Beyond Tomorrow,Robert Sheckley,1962,laure
coo.31924001398258,Island,Aldous Huxley,1962,laure
pst.000018666526,The Summer Birds,Penelope Farmer,1962,laure
mdp.49015000897547,Seven-Day Magic,Edward Eager,1962,laure
uc1.$b802612,The Flying Eyes,J. Hunter Holly,1962,laure
uiug.30112041417517,Purple-6,Henry Brinton,1962,laure
mdp.39015010775172,The Long Winter,John Christopher,1962,laure
uc1.b3435509,The World in Winter,John Christopher,1962,laure
osu.32435075207852,"Doomsday, 1999",Paul MacTyre,1962,laure
uc1.31210018225084,Walk Through To-Morrow,Karl Zeigfreid,1962,laure
uva.x000285836,Space Fury,R. L. Fanthorpe,1962,laure
mdp.39015016871611,The Long Afternoon of Earth,Brian Aldiss,1962,laure
mdp.49015000528936,Hothouse,Brian Aldiss,1962,laure
osu.32435053311874,Planet of the Damned,Harry Harrison,1962,laure
osu.32435057536419,The Perfect Planet,Evelyn E. Smith,1962,laure
uc1.b3406942,Hidden Trail,Jim Kjelgaard,1962,laure
uc1.$b395755,The Garden,Yves Berger,1962,laure
osu.32435053364287,Mars Is My Destination,Frank Belknap Long,1962,laure
iau.31858006568632,The Case Against Satan,Ray Russell,1962,laure
uc1.$b435128,The Crew of the Mekong,E. Voiskunsky & I. Lukodyanov,1962,laure
inu.32000009268378,The Time Before This,Nicholas Monsarrat,1962,laure
cub.p102232907008,The Eighth Seal,Angus MacLeod,1962,laure
mdp.39015002587205,In High Places,Arthur Hailey,1962,laure
uc1.32106014952987,Malpertuis,Jean Ray,1962,laure
inu.30000029805201,Aura,Carlos Fuentes,1962,laure
mdp.39015002343146,Pale Fire,Vladimir Nabokov,1962,laure
inu.30000084004260,Feather Woman of the Jungle,Amos Tutuola,1962,laure
mdp.39015005862399,David Knudsen,George P. Elliott,1962,laure
mdp.39015019197790,The Return of the Twelves,Pauline Clarke,1962,laure
uc1.31210001021292,The Wish-Tree,John Ciardi,1962,laure
mdp.39015027553562,The Shy Stegosaurus of Indian Springs,Evelyn Sibley Lampman,1962,laure
inu.32000009141682,Leave Them Their Pride,Robin Cranford,1962,laure
mdp.39015053405992,A Shade of Difference,Allen Drury,1962,laure
nyp.33433045386079,Memoirs of a Smoking Jacket,Arthur Kleven,1962,laure
uc1.b2802864,The Sextuplets of Loqmaria,Michel Labry,1962,laure
uva.x000316658,The Scrolls of Lysis,Barnaby Ross,1962,laure
mdp.39015016434386,SheLa: A Satire,Aubrey Menen,1962,laure
mdp.39015066680300,The Night Watchman,Simonne Jacquemard,1962,laure
uc1.$b662027,The Smiling Kouros,Mikhail Soloviev,1962,laure
uva.x001246152,The Cat Can Yield But Its Skin,Currie B. Witt & Lavinia Lee Witt,1962,laure
mdp.39015065303052,Memoirs of a Banknote,J. Paço d'Arcos,1962,laure
uc1.$b101907,The Voices of Glory,Davis Grubb,1962,laure
mdp.39015009211817,Burning Grass,Cyprian Ekwensi,1962,laure
uc1.$b795541,The Troubling of the City,Roger Lloyd,1962,laure
mdp.39015013290492,Who Remembers the Sea,Mohammed Dib,1962,laure
ppt.ssfcbz201710000326,The voices of time and other stories / J.G. Ballard.,"Ballard, J. G., 1930-2009",1962,temple
ppt.ssfcbz201710000328,Billenium / J.G. Ballard.,"Ballard, J. G., 1930-2009",1962,temple
ppt.ssfcbz201808000041,More Soviet science fiction / with an introduction by Isaac Asimov ; translated from the Russian by R. Prokofieva.,,1962,temple
ppt.ssfcbz201808000185,Return to otherness / Henry Kuttner.,"Kuttner, Henry,",1962,temple
ppt.ssfcbz202002001024,The wall around the world / by Theodore R. Cogswell.,"Cogswell, Theodore R.",1962,temple
ppt.ssfcbz202002001063,"The house on the borderland : from the manuscript, discovered in 1877 by Messrs. Tonnison and Berreggnog, in the ruins that lie to the south of the village of Kraighten, in the west of Ireland. Set out here, with notes / by William Hope Hodgson.","Hodgson, William Hope, 1877-1918.",1962,temple
mdp.39015004878867,The Game-Players of Titan,Philip K. Dick,1963,laure
mdp.39015049645875,Glory Road,Robert A. Heinlein,1963,laure
uc1.32106002114350,Glory Road,Robert Heinlein,1963,laure
mdp.49015002517150,Cat's Cradle,Kurt Vonnegut,1963,laure
ppt.ssfcbz201710000434,Cat's Cradle,"Kurt Vonnegut, Jr.",1963,laure
inu.39000000059332,Witch World,Andre Norton,1963,laure
mdp.39076000644612,Judgment on Janus,Andre Norton,1963,laure
mdp.39015005156263,Key Out of Time,Andre Norton,1963,laure
mdp.39015002985169,The Man Who Fell to Earth,Walter Tevis,1963,laure
osu.32435053363750,A Trace of Memory,Keith Laumer,1963,laure
ppt.ssfcbz201808000128,The Cosmic Computer,H. Beam Piper,1963,laure
mdp.39015015203865,Space Viking,H. Beam Piper,1963,laure
